Estimate,RobustSE,z,Pr(>|z|),LL,UL,depvar,did_type,mtch,term,depvar2,model,obs,grp,r2
0.0075719,0.0059459,1.27,0.206,-0.0042104,0.0193542,Non-KSNP,Cont.,Genetic,Short-Term,Log(Ha),3,672,112,0.4038
-0.0015405,0.0050545,-0.3,0.761,-0.0115563,0.0084753,Non-KSNP,Cont.,Genetic,Short-Term,Log(Ha),2,672,112,0.0367
0.0139484,0.0040719,3.43,0.001,0.0058796,0.0220171,Non-KSNP,Cont.,Genetic,Short-Term,Log(Ha),1,672,112,0.0071
0.3067003,0.2885097,1.06,0.29,-0.2650009,0.8784016,Non-KSNP,Cont.,Genetic,Short-Term,Ha,3,672,112,0.3809
-0.1570164,0.3389277,-0.46,0.644,-0.8286242,0.5145915,Non-KSNP,Cont.,Genetic,Short-Term,Ha,2,672,112,0.0488
0.8219073,0.3113591,2.64,0.009,0.2049284,1.438886,Non-KSNP,Cont.,Genetic,Short-Term,Ha,1,672,112,0.0046
0.2164979,0.1913805,1.13,0.26,-0.1627354,0.5957312,Non-KSNP,Dich.,Genetic,Short-Term,Log(Ha),3,672,112,0.4041
-0.1121015,0.1824272,-0.61,0.54,-0.4735931,0.2493901,Non-KSNP,Dich.,Genetic,Short-Term,Log(Ha),2,672,112,0.0373
0.3041417,0.1414008,2.15,0.034,0.0239464,0.5843369,Non-KSNP,Dich.,Genetic,Short-Term,Log(Ha),1,672,112,0.0063
3.07549,9.714769,0.32,0.752,-16.17497,22.32595,Non-KSNP,Dich.,Genetic,Short-Term,Ha,3,672,112,0.3806
-8.396516,8.786403,-0.96,0.341,-25.80736,9.014328,Non-KSNP,Dich.,Genetic,Short-Term,Ha,2,672,112,0.0493
19.47335,8.722271,2.23,0.028,2.189586,36.75711,Non-KSNP,Dich.,Genetic,Short-Term,Ha,1,672,112,0.0047
-0.0083414,0.008623,-0.97,0.335,-0.0254283,0.0087456,KSNP,Cont.,Genetic,Short-Term,Log(Ha),3,672,112,0.2313
-0.0187785,0.0080186,-2.34,0.021,-0.0346678,-0.0028892,KSNP,Cont.,Genetic,Short-Term,Log(Ha),2,672,112,0.0082
-0.0124049,0.0058688,-2.11,0.037,-0.0240344,-0.0007755,KSNP,Cont.,Genetic,Short-Term,Log(Ha),1,672,112,0.0042
0.0224495,0.0764107,0.29,0.769,-0.1289633,0.1738624,KSNP,Cont.,Genetic,Short-Term,Ha,3,672,112,0.2122
0.0063898,0.0512766,0.12,0.901,-0.0952182,0.1079978,KSNP,Cont.,Genetic,Short-Term,Ha,2,672,112,0.0071
0.0700656,0.0407947,1.72,0.089,-0.0107718,0.150903,KSNP,Cont.,Genetic,Short-Term,Ha,1,672,112,0.0012
0.0925418,0.249573,0.37,0.711,-0.4020036,0.5870873,KSNP,Dich.,Genetic,Short-Term,Log(Ha),3,672,112,0.2305
-0.3093488,0.209821,-1.47,0.143,-0.7251232,0.1064256,KSNP,Dich.,Genetic,Short-Term,Log(Ha),2,672,112,0.0043
-0.1693336,0.1551128,-1.09,0.277,-0.4766999,0.1380328,KSNP,Dich.,Genetic,Short-Term,Log(Ha),1,672,112,0.0014
0.6869218,2.303798,0.3,0.766,-3.878208,5.252051,KSNP,Dich.,Genetic,Short-Term,Ha,3,672,112,0.2123
-0.1522919,1.627336,-0.09,0.926,-3.376967,3.072384,KSNP,Dich.,Genetic,Short-Term,Ha,2,672,112,0.0071
1.633259,1.319621,1.24,0.218,-0.9816585,4.248176,KSNP,Dich.,Genetic,Short-Term,Ha,1,672,112,0.0012
0.0117299,0.0061497,1.91,0.058,-0.0003803,0.0238402,Non-KSNP,Cont.,Full,Short-Term,Log(Ha),3,1548,258,0.3883
-0.0000227,0.004748,0,0.996,-0.0093727,0.0093274,Non-KSNP,Cont.,Full,Short-Term,Log(Ha),2,1548,258,0.0434
0.0139484,0.0040599,3.44,0.001,0.0059535,0.0219432,Non-KSNP,Cont.,Full,Short-Term,Log(Ha),1,1548,258,0.003
0.0149989,0.5388306,0.03,0.978,-1.046086,1.076084,Non-KSNP,Cont.,Full,Short-Term,Ha,3,1548,258,0.2001
-0.1372963,0.4997988,-0.27,0.784,-1.121519,0.8469262,Non-KSNP,Cont.,Full,Short-Term,Ha,2,1548,258,0.0295
0.8219073,0.3104373,2.65,0.009,0.2105825,1.433232,Non-KSNP,Cont.,Full,Short-Term,Ha,1,1548,258,0.0007
0.2647043,0.1773035,1.49,0.137,-0.0844483,0.613857,Non-KSNP,Dich.,Full,Short-Term,Log(Ha),3,1548,258,0.3881
-0.0658255,0.1580071,-0.42,0.677,-0.3769791,0.2453281,Non-KSNP,Dich.,Full,Short-Term,Log(Ha),2,1548,258,0.0435
0.3041417,0.1409822,2.16,0.032,0.0265142,0.5817691,Non-KSNP,Dich.,Full,Short-Term,Log(Ha),1,1548,258,0.0026
-1.691573,15.72435,-0.11,0.914,-32.65656,29.27341,Non-KSNP,Dich.,Full,Short-Term,Ha,3,1548,258,0.2001
-7.882472,13.5765,-0.58,0.562,-34.61783,18.85289,Non-KSNP,Dich.,Full,Short-Term,Ha,2,1548,258,0.0296
19.47335,8.696448,2.24,0.026,2.347977,36.59872,Non-KSNP,Dich.,Full,Short-Term,Ha,1,1548,258,0.0007
-0.0082609,0.0070889,-1.17,0.245,-0.0222207,0.0056989,KSNP,Cont.,Full,Short-Term,Log(Ha),3,1548,258,0.2375
-0.0180578,0.0067444,-2.68,0.008,-0.0313392,-0.0047764,KSNP,Cont.,Full,Short-Term,Log(Ha),2,1548,258,0.0084
-0.0124049,0.0058514,-2.12,0.035,-0.0239278,-0.0008821,KSNP,Cont.,Full,Short-Term,Log(Ha),1,1548,258,0.0017
-0.0133064,0.0731578,-0.18,0.856,-0.1573716,0.1307587,KSNP,Cont.,Full,Short-Term,Ha,3,1548,258,0.2743
-0.0227499,0.0656052,-0.35,0.729,-0.1519421,0.1064422,KSNP,Cont.,Full,Short-Term,Ha,2,1548,258,0.0255
0.0700656,0.0406739,1.72,0.086,-0.010031,0.1501622,KSNP,Cont.,Full,Short-Term,Ha,1,1548,258,0.0004
-0.0235675,0.2072478,-0.11,0.91,-0.4316876,0.3845526,KSNP,Dich.,Full,Short-Term,Log(Ha),3,1548,258,0.2369
-0.3137727,0.1756499,-1.79,0.075,-0.6596691,0.0321238,KSNP,Dich.,Full,Short-Term,Log(Ha),2,1548,258,0.0069
-0.1693336,0.1546535,-1.09,0.275,-0.4738831,0.135216,KSNP,Dich.,Full,Short-Term,Log(Ha),1,1548,258,0.0006
-0.2520037,1.912075,-0.13,0.895,-4.017334,3.513327,KSNP,Dich.,Full,Short-Term,Ha,3,1548,258,0.2743
-1.04289,1.919951,-0.54,0.587,-4.823729,2.737949,KSNP,Dich.,Full,Short-Term,Ha,2,1548,258,0.0256
1.633259,1.315714,1.24,0.216,-0.957695,4.224213,KSNP,Dich.,Full,Short-Term,Ha,1,1548,258,0.0004
0.0083015,0.0050181,1.65,0.1,-0.0016108,0.0182137,Non-KSNP,Cont.,Mahal.,Short-Term,Log(Ha),3,942,157,0.4194
0.0000712,0.004617,0.02,0.988,-0.0090487,0.0091911,Non-KSNP,Cont.,Mahal.,Short-Term,Log(Ha),2,942,157,0.0503
0.0139484,0.0040658,3.43,0.001,0.0059173,0.0219795,Non-KSNP,Cont.,Mahal.,Short-Term,Log(Ha),1,942,157,0.0053
-0.3106854,0.9129862,-0.34,0.734,-2.114096,1.492725,Non-KSNP,Cont.,Mahal.,Short-Term,Ha,3,942,157,0.1622
-0.4918233,0.7277919,-0.68,0.5,-1.929422,0.9457749,Non-KSNP,Cont.,Mahal.,Short-Term,Ha,2,942,157,0.0355
0.8219073,0.3108913,2.64,0.009,0.2078075,1.436007,Non-KSNP,Cont.,Mahal.,Short-Term,Ha,1,942,157,0.0008
0.1325107,0.1576058,0.84,0.402,-0.1788061,0.4438276,Non-KSNP,Dich.,Mahal.,Short-Term,Log(Ha),3,942,157,0.4186
-0.0749562,0.1621712,-0.46,0.645,-0.395291,0.2453785,Non-KSNP,Dich.,Mahal.,Short-Term,Log(Ha),2,942,157,0.0506
0.3041417,0.1411884,2.15,0.033,0.025254,0.5830294,Non-KSNP,Dich.,Mahal.,Short-Term,Log(Ha),1,942,157,0.0047
-12.59609,25.48121,-0.49,0.622,-62.92881,37.73663,Non-KSNP,Dich.,Mahal.,Short-Term,Ha,3,942,157,0.1624
-18.52007,20.11011,-0.92,0.359,-58.24331,21.20317,Non-KSNP,Dich.,Mahal.,Short-Term,Ha,2,942,157,0.0359
19.47335,8.709167,2.24,0.027,2.27024,36.67646,Non-KSNP,Dich.,Mahal.,Short-Term,Ha,1,942,157,0.0008
