,ID2003_d,NM.2003,VCA,HKD,HKD_Sisa,HKDPer_2,HKDII,HKDII_tdklnjt,HKDII_tdkcair,YearI,YearII,YearIII,YearIV,Combined Boundary
1,1302010001,Kumbung,1,250000000,0,1,1,0,0,0,0,0,1,0
2,1302010002,NA,0,0,250000000,0,0,0,0,0,0,0,0,0
3,1302020001,BASA IV BALAI TAPAN,1,499947021,-249947021,0.999894042,1,0,0,0,1,0,0,1
4,1302030001,NA,0,0,250000000,0,0,0,0,0,0,0,0,0
5,1302040001,NA,0,0,250000000,0,0,0,0,0,0,0,0,0
6,1302040002,NA,0,0,250000000,0,0,0,0,0,0,0,0,0
7,1302050002,NA,0,0,250000000,0,0,0,0,0,0,0,0,0
8,1302060001,NA,0,0,250000000,0,0,0,0,0,0,0,0,0
9,1302060002,Koto Lamo,1,250000000,0,1,1,0,0,0,0,0,1,0
10,1302070001,NA,0,0,250000000,0,0,0,0,0,0,0,0,0
11,1302070002,DESA LANGGAI,1,250000000,0,1,1,0,0,0,0,1,0,0
12,1302080001,NA,0,0,250000000,0,0,0,0,0,0,0,0,0
13,1302080002,NA,0,0,250000000,0,0,0,0,0,0,0,0,0
14,1302080003,NA,0,0,250000000,0,0,0,0,0,0,0,0,0
15,1302090002,NA,0,0,250000000,0,0,0,0,0,0,0,0,0
16,1302090003,Bangun Rejo,1,0,250000000,0,0,1,0,0,0,0,1,0
17,1302090004,Salido Saribulan,1,0,250000000,0,0,1,0,0,0,1,0,0
18,1302100001,NA,0,0,250000000,0,0,0,0,0,0,0,0,0
19,1302100002,NA,0,0,250000000,0,0,0,0,0,0,0,0,0
20,1302100003,NGALAU GADANG,1,250000000,0,1,1,0,0,0,1,0,0,0
21,1302100004,PANCUANG TABA,1,250000000,0,1,1,0,0,0,1,0,0,0
22,1303040001,DESA GUNUNG SAGO SURIAN and Tabuah Gadang Surian,1,499787161,-249787161,0.999574322,1,0,0,0,0,1,0,1
23,1303040002,DESA JANGAH LOLO,1,249938917,61083,0.999755668,1,0,0,0,0,1,0,0
24,1303050001,NA,0,0,250000000,0,0,0,0,0,0,0,0,0
25,1303050004,NA,0,0,250000000,0,0,0,0,0,0,0,0,0
26,1303071002,NA,0,0,250000000,0,0,0,0,0,0,0,0,0
27,1310010001,Bangun Rejo,1,249995420,4580,0.99998168,1,0,0,0,0,0,1,0
28,1310030001,NA,0,0,250000000,0,0,0,0,0,0,0,0,0
29,1310030003,NA,0,0,250000000,0,0,0,0,0,0,0,0,0
30,1310040001,SUNGAI DUO,1,249999995,5,0.99999998,1,0,0,0,0,0,1,0
