Estimate,RobustSE,z,Pr(>|z|),LL,UL,R2,Obs,Grps,coeff_var,depvar,did_type,mtc,term,trnsfrm,covariates,,,,,,,,,,
4.768885,1.570447,3.04,0.003,1.676581,7.86119,0.0012,"3,945",263,factor(did1)1,KSNP,Dichot.,None,Long-Term (2000-2016),None,1,,,,,,,,,,
1.842679,1.802143,1.02,0.307,-1.705849,5.391207,0.0191,"3,945",263,factor(did1)1,KSNP,Dichot.,None,Long-Term (2000-2016),None,2,,,,,,,,,,
1.205268,2.08284,0.58,0.563,-2.895968,5.306505,0.1307,"3,945",263,factor(did1)1,KSNP,Dichot.,None,Long-Term (2000-2016),None,3,,,,,,,,,,
0.3854966,0.1482825,2.6,0.01,0.0935195,0.6774737,0.0014,"3,945",263,factor(did1)1,KSNP,Dichot.,None,Long-Term (2000-2016),Log,1,,,,,,,,,,
0.0536937,0.1583719,0.34,0.735,-0.25815,0.3655373,0.0322,"3,945",263,factor(did1)1,KSNP,Dichot.,None,Long-Term (2000-2016),Log,2,,,,,,,,,,
0.1399262,0.1789313,0.78,0.435,-0.2124003,0.4922526,0.2565,"3,945",263,factor(did1)1,KSNP,Dichot.,None,Long-Term (2000-2016),Log,3,,,,,,,,,,
,,,,,,,,,factor(did1)1,KSNP,Dichot.,None,Short-Term (2000-2008),None,1,,,,,,,,,,
,,,,,,,,,factor(did1)1,KSNP,Dichot.,None,Short-Term (2000-2008),None,2,,,,,,,,,,
,,,,,,,,,factor(did1)1,KSNP,Dichot.,None,Short-Term (2000-2008),None,3,,,,,,,,,,
,,,,,,,,,factor(did1)1,KSNP,Dichot.,None,Short-Term (2000-2008),Log,1,,,,,,,,,,
,,,,,,,,,factor(did1)1,KSNP,Dichot.,None,Short-Term (2000-2008),Log,2,,,,,,,,,,
,,,,,,,,,factor(did1)1,KSNP,Dichot.,None,Short-Term (2000-2008),Log,3,,,,,,,,,,
0.1936348,0.0617317,3.14,0.002,0.0720815,0.3151882,0.0012,"3,945",263,did2,KSNP,Continuous,None,Long-Term (2000-2016),None,1,,,,,,,,,,
0.0962411,0.0698499,1.38,0.169,-0.0412976,0.2337798,0.0192,"3,945",263,did2,KSNP,Continuous,None,Long-Term (2000-2016),None,2,,,,,,,,,,
0.0324856,0.0807702,0.4,0.688,-0.1265557,0.1915269,0.1306,"3,945",263,did2,KSNP,Continuous,None,Long-Term (2000-2016),None,3,,,,,,,,,,
0.0136997,0.0052015,2.63,0.009,0.0034576,0.0239419,0.001,"3,945",263,did2,KSNP,Continuous,None,Long-Term (2000-2016),Log,1,,,,,,,,,,
0.0013326,0.0056851,0.23,0.815,-0.0098616,0.0125269,0.0322,"3,945",263,did2,KSNP,Continuous,None,Long-Term (2000-2016),Log,2,,,,,,,,,,
-0.0018436,0.0063446,-0.29,0.772,-0.0143364,0.0106493,0.2564,"3,945",263,did2,KSNP,Continuous,None,Long-Term (2000-2016),Log,3,,,,,,,,,,
,,,,,,,,,did2,KSNP,Continuous,None,Short-Term (2000-2008),None,1,,,,,,,,,,
,,,,,,,,,did2,KSNP,Continuous,None,Short-Term (2000-2008),None,2,,,,,,,,,,
,,,,,,,,,did2,KSNP,Continuous,None,Short-Term (2000-2008),None,3,,,,,,,,,,
,,,,,,,,,did2,KSNP,Continuous,None,Short-Term (2000-2008),Log,1,,,,,,,,,,
,,,,,,,,,did2,KSNP,Continuous,None,Short-Term (2000-2008),Log,2,,,,,,,,,,
,,,,,,,,,did2,KSNP,Continuous,None,Short-Term (2000-2008),Log,3,,,,,,,,,,
65.52557,29.35371,2.23,0.026,7.726371,123.3248,0.0039,"3,945",263,factor(did1)1,Non-KSNP,Dichot.,None,Long-Term (2000-2016),None,1,,,,,,,,,,
58.34417,28.08267,2.08,0.039,3.047706,113.6406,0.0053,"3,945",263,factor(did1)1,Non-KSNP,Dichot.,None,Long-Term (2000-2016),None,2,,,,,,,,,,
34.34522,27.08473,1.27,0.206,-18.98622,87.67667,0.1422,"3,945",263,factor(did1)1,Non-KSNP,Dichot.,None,Long-Term (2000-2016),None,3,,,,,,,,,,
0.8671259,0.1231988,7.04,0,0.62454,1.109712,0.0096,"3,945",263,factor(did1)1,Non-KSNP,Dichot.,None,Long-Term (2000-2016),Log,1,,,,,,,,,,
0.5012058,0.1338629,3.74,0,0.2376218,0.7647899,0.0608,"3,945",263,factor(did1)1,Non-KSNP,Dichot.,None,Long-Term (2000-2016),Log,2,,,,,,,,,,
0.312886,0.1498185,2.09,0.038,0.0178845,0.6078875,0.356,"3,945",263,factor(did1)1,Non-KSNP,Dichot.,None,Long-Term (2000-2016),Log,3,,,,,,,,,,
,,,,,,,,,factor(did1)1,Non-KSNP,Dichot.,None,Short-Term (2000-2008),None,1,,,,,,,,,,
,,,,,,,,,factor(did1)1,Non-KSNP,Dichot.,None,Short-Term (2000-2008),None,2,,,,,,,,,,
,,,,,,,,,factor(did1)1,Non-KSNP,Dichot.,None,Short-Term (2000-2008),None,3,,,,,,,,,,
,,,,,,,,,factor(did1)1,Non-KSNP,Dichot.,None,Short-Term (2000-2008),Log,1,,,,,,,,,,
,,,,,,,,,factor(did1)1,Non-KSNP,Dichot.,None,Short-Term (2000-2008),Log,2,,,,,,,,,,
,,,,,,,,,factor(did1)1,Non-KSNP,Dichot.,None,Short-Term (2000-2008),Log,3,,,,,,,,,,
3.391408,1.568717,2.16,0.032,0.3025101,6.480305,0.0061,"3,945",263,did2,Non-KSNP,Continuous,None,Long-Term (2000-2016),None,1,,,,,,,,,,
3.1497,1.54797,2.03,0.043,0.1016551,6.197744,0.0075,"3,945",263,did2,Non-KSNP,Continuous,None,Long-Term (2000-2016),None,2,,,,,,,,,,
2.561684,1.400517,1.83,0.069,-0.196019,5.319386,0.0075,"3,945",263,did2,Non-KSNP,Continuous,None,Long-Term (2000-2016),None,3,,,,,,,,,,
0.0354765,0.0040875,8.68,0,0.0274279,0.0435251,0.0094,"3,945",263,did2,Non-KSNP,Continuous,None,Long-Term (2000-2016),Log,1,,,,,,,,,,
0.0217116,0.0043634,4.98,0,0.0131199,0.0303034,0.0612,"3,945",263,did2,Non-KSNP,Continuous,None,Long-Term (2000-2016),Log,2,,,,,,,,,,
0.013072,0.0052808,2.48,0.014,0.0026738,0.0234702,0.356,"3,945",263,did2,Non-KSNP,Continuous,None,Long-Term (2000-2016),Log,3,,,,,,,,,,
,,,,,,,,,did2,Non-KSNP,Continuous,None,Short-Term (2000-2008),None,1,,,,,,,,,,
,,,,,,,,,did2,Non-KSNP,Continuous,None,Short-Term (2000-2008),None,2,,,,,,,,,,
,,,,,,,,,did2,Non-KSNP,Continuous,None,Short-Term (2000-2008),None,3,,,,,,,,,,
,,,,,,,,,did2,Non-KSNP,Continuous,None,Short-Term (2000-2008),Log,1,,,,,,,,,,
,,,,,,,,,did2,Non-KSNP,Continuous,None,Short-Term (2000-2008),Log,2,,,,,,,,,,
,,,,,,,,,did2,Non-KSNP,Continuous,None,Short-Term (2000-2008),Log,3,,,,,,,,,,
3.077555,1.179531,2.61,0.01,0.7476429,5.407467,0.0003,"2,355",157,factor(did1)1,KSNP,Dichot.,Mahal.,Long-Term (2000-2016),None,1,,,,,,,,,,
-1.455086,1.760739,-0.83,0.41,-4.933052,2.022881,0.0104,"2,355",157,factor(did1)1,KSNP,Dichot.,Mahal.,Long-Term (2000-2016),None,2,,,,,,,,,,
-2.153479,3.089123,-0.7,0.487,-8.255385,3.948427,0.4096,"2,355",157,factor(did1)1,KSNP,Dichot.,Mahal.,Long-Term (2000-2016),None,3,,,,,,,,,,
0.3620088,0.1555638,2.33,0.021,0.0547256,0.6692919,0.002,"2,355",157,factor(did1)1,KSNP,Dichot.,Mahal.,Long-Term (2000-2016),Log,1,,,,,,,,,,
-0.2072768,0.1760737,-1.18,0.241,-0.555073,0.1405194,0.0569,"2,355",157,factor(did1)1,KSNP,Dichot.,Mahal.,Long-Term (2000-2016),Log,2,,,,,,,,,,
0.2816307,0.2352821,1.2,0.233,-0.1831192,0.7463805,0.3092,"2,355",157,factor(did1)1,KSNP,Dichot.,Mahal.,Long-Term (2000-2016),Log,3,,,,,,,,,,
,,,,,,,,,factor(did1)1,KSNP,Dichot.,Mahal.,Short-Term (2000-2008),None,1,,,,,,,,,,
,,,,,,,,,factor(did1)1,KSNP,Dichot.,Mahal.,Short-Term (2000-2008),None,2,,,,,,,,,,
,,,,,,,,,factor(did1)1,KSNP,Dichot.,Mahal.,Short-Term (2000-2008),None,3,,,,,,,,,,
,,,,,,,,,factor(did1)1,KSNP,Dichot.,Mahal.,Short-Term (2000-2008),Log,1,,,,,,,,,,
,,,,,,,,,factor(did1)1,KSNP,Dichot.,Mahal.,Short-Term (2000-2008),Log,2,,,,,,,,,,
,,,,,,,,,factor(did1)1,KSNP,Dichot.,Mahal.,Short-Term (2000-2008),Log,3,,,,,,,,,,
0.1133967,0.0382829,2.96,0.004,0.037777,0.1890164,0.0002,"2,355",157,did2,KSNP,Continuous,Mahal.,Long-Term (2000-2016),None,1,,,,,,,,,,
-0.0540337,0.0634464,-0.85,0.396,-0.1793586,0.0712911,0.0104,"2,355",157,did2,KSNP,Continuous,Mahal.,Long-Term (2000-2016),None,2,,,,,,,,,,
-0.0944886,0.1089451,-0.87,0.387,-0.3096865,0.1207093,0.4096,"2,355",157,did2,KSNP,Continuous,Mahal.,Long-Term (2000-2016),None,3,,,,,,,,,,
0.0124332,0.005857,2.12,0.035,0.000864,0.0240024,0.0013,"2,355",157,did2,KSNP,Continuous,Mahal.,Long-Term (2000-2016),Log,1,,,,,,,,,,
-0.010421,0.0064897,-1.61,0.11,-0.0232401,0.002398,0.0571,"2,355",157,did2,KSNP,Continuous,Mahal.,Long-Term (2000-2016),Log,2,,,,,,,,,,
0.0045509,0.0083281,0.55,0.586,-0.0118995,0.0210012,0.3086,"2,355",157,did2,KSNP,Continuous,Mahal.,Long-Term (2000-2016),Log,3,,,,,,,,,,
,,,,,,,,,did2,KSNP,Continuous,Mahal.,Short-Term (2000-2008),None,1,,,,,,,,,,
,,,,,,,,,did2,KSNP,Continuous,Mahal.,Short-Term (2000-2008),None,2,,,,,,,,,,
,,,,,,,,,did2,KSNP,Continuous,Mahal.,Short-Term (2000-2008),None,3,,,,,,,,,,
,,,,,,,,,did2,KSNP,Continuous,Mahal.,Short-Term (2000-2008),Log,1,,,,,,,,,,
