"","ID2003_d","Area2003","elev_MEAN.2003","ovslp_MEAN.2003","dstrds00_MEAN.2003","dstrds16_MEAN.2003","PAs_MEAN.2003","prmforlag_MEAN.2003","dstrds.2001","dstrds.2002","dstrds.2003","dstrds.2004","dstrds.2005","dstrds.2006","dstrds.2007","dstrds.2008","dstrds.2009","dstrds.2010","dstrds.2011","dstrds.2012","dstrds.2013","dstrds.2014","dstrds.2015","dstrds.2016","pop.2003","AreaNonFor_3km","AreaFor_3km","VCA","HKDII","AreaConc","Area2003_z","elev_MEAN.2003_z","ovslp_MEAN.2003_z","dstrds00_MEAN.2003_z","PAs_MEAN.2003_z","prmforlag_MEAN.2003_z","AreaNonFor_3km_z","AreaFor_3km_z","AreaConc_z","pop.2003_z","ps03.1","distance","weights"
"X1",1302010001,463743729,50.49509,0.08679081,11271.33,1582.9979908511,0.06584024,0.07391308,10665.8092494282,10060.2884988564,9454.76774828458,8849.24699771277,8243.72624714097,7638.20549656916,7032.68474599736,6427.16399542555,5821.64324485375,5216.12249428194,4610.60174371013,4005.08099313833,3399.56024256652,2794.03949199472,2188.51874142291,1582.9979908511,57.2634752270034,17.19,1573.74,1,1,1262.73359649071,2.65085661658445,-1.88472485697434,-2.95438594924872,1.61913903591146,-1.46381078797928,-1.14644006598656,-0.813523682968963,0.611112900481438,5.69742172451319,-0.196238429482057,0.0877305321928765,0.0939345439267177,1
"X2",1302010002,462709037,163.0058,0.3420156,6281.543,4241.08687348021,0.2131038,0.2310532,6154.01449209251,6026.48598418503,5898.95747627754,5771.42896837005,5643.90046046257,5516.37195255508,5388.84344464759,5261.31493674011,5133.78642883262,5006.25792092513,4878.72941301765,4751.20090511016,4623.67239720267,4496.14388929519,4368.6153813877,4241.08687348021,57.5307326834944,512.91,6028.92,0,0,548.816296854219,2.64336737013794,-1.64675747139147,-1.76417404626093,0.238075768442905,-0.960877518084443,-0.641032332962196,-0.422180623596204,3.74608851971775,2.35603552653546,-0.191198131878329,0.144551693419262,0.154653134326188,1
"X3",1302020001,477010676,235.5219,0.4245429,4883.622,5347.07525550266,0.3153408,0.3188482,4912.58782846892,4941.55365693783,4970.51948540675,4999.48531387567,5028.45114234458,5057.4169708135,5086.38279928242,5115.34862775133,5144.31445622025,5173.28028468916,5202.24611315808,5231.211941627,5260.17777009591,5289.14359856483,5318.10942703375,5347.07525550266,57.5349319829837,3034.8,1567.62,1,1,126.541988392625,2.74688464780138,-1.49338125743223,-1.37931732924122,-0.148838010426396,-0.611718576699087,-0.358658411389056,1.56870969352145,0.606806441305888,0.379641976788744,-0.191118935887199,0.311686703669997,0.337803616272404,1
"X5",1302040001,255619988,400.8325,0.6857018,11478.65,8340.18050901945,0.5641644,0.4597445,11282.4956568137,11086.3413136274,10890.1869704411,10694.0326272549,10497.8782840686,10301.7239408823,10105.569597696,9909.41525450972,9713.26091132344,9517.10656813715,9320.95222495087,9124.79788176459,8928.6435385783,8732.48919539202,8536.33485220573,8340.18050901945,57.2473089609885,2089.08,704.79,0,0,59.292653841525,1.14442766215124,-1.14373870970379,-0.161432376328928,1.6765206509206,0.238061686490298,0.0945045337233706,0.822116943360062,-0.000340972164648774,0.0648912368828107,-0.196543314490416,0.220258624999275,0.217111002903265,1
"X8",1302060001,467427421,754.0819,0.8535022,12090.88,6380.38784324872,0.7857474,0.7649608,11733.974240203,11377.0684804061,11020.1627206091,10663.2569608122,10306.3512010152,9949.44544121827,9592.53968142132,9235.63392162436,8878.7281618274,8521.82240203045,8164.9166422335,7808.01088243654,7451.10512263959,7094.19936284263,6737.29360304568,6380.38784324872,57.0439200587857,5015.34,646.38,0,0,41.3176625950188,2.67751969817885,-0.396593516355366,0.621085785038206,1.84597244600569,0.994810081973257,1.07616776692622,3.13223463262039,-0.0414423251783526,-0.0192380981121923,-0.200379093704427,0.553923713346253,0.563731033680951,1
"X9",1302060002,170555139,444.7828,0.7189815,11697.72,3314.54697334104,0.5251715,0.5045119,11173.7716858338,10649.8233716676,10125.8750575014,9601.92674333526,9077.97842916907,8554.03011500289,8030.0818008367,7506.13348667052,6982.18517250433,6458.23685833815,5934.28854417196,5410.34023000578,4886.39191583959,4362.44360167341,3838.49528750722,3314.54697334104,57.38033200748,1959.21,1357.02,1,1,15.0930638318813,0.528716302541916,-1.05078099939707,-0.00623626443140065,1.73715440743252,0.104893462798826,0.238489342614918,0.719591882598463,0.458613581441378,-0.141978522527273,-0.194034588442974,0.200956176075771,0.212194107020566,1
"X10",1302070001,131371771,189.8073,0.5261708,6715.568,906.364065085732,0.3115968,0.1711398,6352.49275406786,5989.41750813572,5626.34226220358,5263.26701627143,4900.19177033929,4537.11652440715,4174.04127847501,3810.96603254287,3447.89078661072,3084.81554067858,2721.74029474644,2358.6650488143,1995.58980288216,1632.51455695002,1269.43931101787,906.364065085732,57.3857822999259,4308.48,811.98,0,0,32.8651117363563,0.245101565444663,-1.59007057567551,-0.905387127337032,0.358204339995767,-0.624505053968048,-0.833731025516216,2.5742084183296,0.0750853936894672,-0.0587990343595984,-0.193931799557996,0.385657546033292,0.397906334663762,1
"X12",1302080001,72521582,131.0403,0.6320838,1500.221,1052.71020090045,0.1362841,0.1313082,1472.25157505628,1444.28215011256,1416.31272516883,1388.34330022511,1360.37387528139,1332.40445033767,1304.43502539395,1276.46560045022,1248.4961755065,1220.52675056278,1192.55732561906,1164.58790067534,1136.61847573161,1108.64905078789,1080.67962584417,1052.71020090045,55.0149974165292,1311.75,587.25,0,0,0,-0.18086439239129,-1.71436655912942,-0.411473846886704,-1.08528897320625,-1.22323151056799,-0.961840884785339,0.208458627491777,-0.0830503204480034,-0.212619414964987,-0.238643223230255,0.227046557349837,0.248308588497253,1
"X13",1302080002,180501014,797.131,0.8956217,5675.434,4163.84980827095,0.621837,0.6030046,5580.95998801693,5486.48597603387,5392.0119640508,5297.53795206774,5203.06394008467,5108.58992810161,5014.11591611854,4919.64190413547,4825.16789215241,4730.69388016934,4636.21986818628,4541.74585620321,4447.27184422014,4352.79783223708,4258.32382025401,4163.84980827095,58.1046965048863,3714.57,1463.13,0,0,0,0.60070594680443,-0.305541901991759,0.817505303094796,0.0703181314972598,0.435024664305972,0.555270138165083,2.10534987642676,0.533279983911574,-0.212619414964987,-0.180373556535991,0.520379828165848,0.528654014210287,1
"X16",1302090003,163053444,1083.354,0.8742224,2602.993,3696.1922896609,0.6718057,0.6195208,2671.31795560381,2739.64291120761,2807.96786681142,2876.29282241522,2944.61777801903,3012.94273362284,3081.26768922664,3149.59264483045,3217.91760043425,3286.24255603806,3354.56751164187,3422.89246724567,3491.21742284948,3559.54237845328,3627.86733405709,3696.1922896609,57.8727592995826,2792.43,36.9,1,0,0,0.474417977415583,0.299838145860454,0.717712091096829,-0.780065944328897,0.60567734772198,0.608390978343752,1.3773722100627,-0.470314994837524,-0.212619414964987,-0.184747737729873,0.492007066671869,0.482448695458735,1
