"","ID2003_d","Area2003","elev_MEAN.2003","ovslp_MEAN.2003","dstrds00_MEAN.2003","dstrds16_MEAN.2003","PAs_MEAN.2003","prmforlag_MEAN.2003","dstrds.2001","dstrds.2002","dstrds.2003","dstrds.2004","dstrds.2005","dstrds.2006","dstrds.2007","dstrds.2008","dstrds.2009","dstrds.2010","dstrds.2011","dstrds.2012","dstrds.2013","dstrds.2014","dstrds.2015","dstrds.2016","pop.2003","AreaNonFor_3km","AreaFor_3km","VCA","HKDII","AreaConc","Area2003_z","elev_MEAN.2003_z","ovslp_MEAN.2003_z","dstrds00_MEAN.2003_z","PAs_MEAN.2003_z","prmforlag_MEAN.2003_z","AreaNonFor_3km_z","AreaFor_3km_z","AreaConc_z","pop.2003_z","ps03.1","distance","weights"
"X1",1302010001,463743729,50.49509,0.08679081,11271.33,1582.9979908511,0.06584024,0.07391308,10665.8092494282,10060.2884988564,9454.76774828458,8849.24699771277,8243.72624714097,7638.20549656916,7032.68474599736,6427.16399542555,5821.64324485375,5216.12249428194,4610.60174371013,4005.08099313833,3399.56024256652,2794.03949199472,2188.51874142291,1582.9979908511,57.2634752270034,17.19,1573.74,1,1,1262.73359649071,2.65085661658445,-1.88472485697434,-2.95438594924872,1.61913903591146,-1.46381078797928,-1.14644006598656,-0.813523682968963,0.611112900481438,5.69742172451319,-0.196238429482057,0.0877305321928765,0.0939345439267177,1
"X2",1302010002,462709037,163.0058,0.3420156,6281.543,4241.08687348021,0.2131038,0.2310532,6154.01449209251,6026.48598418503,5898.95747627754,5771.42896837005,5643.90046046257,5516.37195255508,5388.84344464759,5261.31493674011,5133.78642883262,5006.25792092513,4878.72941301765,4751.20090511016,4623.67239720267,4496.14388929519,4368.6153813877,4241.08687348021,57.5307326834944,512.91,6028.92,0,0,548.816296854219,2.64336737013794,-1.64675747139147,-1.76417404626093,0.238075768442905,-0.960877518084443,-0.641032332962196,-0.422180623596204,3.74608851971775,2.35603552653546,-0.191198131878329,0.144551693419262,0.154653134326188,0.601190476190476
"X3",1302020001,477010676,235.5219,0.4245429,4883.622,5347.07525550266,0.3153408,0.3188482,4912.58782846892,4941.55365693783,4970.51948540675,4999.48531387567,5028.45114234458,5057.4169708135,5086.38279928242,5115.34862775133,5144.31445622025,5173.28028468916,5202.24611315808,5231.211941627,5260.17777009591,5289.14359856483,5318.10942703375,5347.07525550266,57.5349319829837,3034.8,1567.62,1,1,126.541988392625,2.74688464780138,-1.49338125743223,-1.37931732924122,-0.148838010426396,-0.611718576699087,-0.358658411389056,1.56870969352145,0.606806441305888,0.379641976788744,-0.191118935887199,0.311686703669997,0.337803616272404,1
"X4",1302030001,976990574,387.2614,0.4909394,8906.944,4942.64298331092,0.3895979,0.3891916,8659.17518645693,8411.40637291386,8163.6375593708,7915.86874582773,7668.09993228466,7420.33111874159,7172.56230519853,6924.79349165546,6677.02467811239,6429.25586456932,6181.48705102626,5933.71823748319,5685.94942394012,5438.18061039705,5190.41179685399,4942.64298331092,57.2134133679167,1810.35,6416.1,0,0,2369.18992956782,6.36580957853172,-1.17244245876451,-1.06968477114712,0.964729007043115,-0.358116354153957,-0.132413844901352,0.602075284885583,4.01853539285327,10.8760298376537,-0.197182562797197,0.565630543958499,0.522377738672523,1.20238095238095
"X5",1302040001,255619988,400.8325,0.6857018,11478.65,8340.18050901945,0.5641644,0.4597445,11282.4956568137,11086.3413136274,10890.1869704411,10694.0326272549,10497.8782840686,10301.7239408823,10105.569597696,9909.41525450972,9713.26091132344,9517.10656813715,9320.95222495087,9124.79788176459,8928.6435385783,8732.48919539202,8536.33485220573,8340.18050901945,57.2473089609885,2089.08,704.79,0,0,59.292653841525,1.14442766215124,-1.14373870970379,-0.161432376328928,1.6765206509206,0.238061686490298,0.0945045337233706,0.822116943360062,-0.000340972164648774,0.0648912368828107,-0.196543314490416,0.220258624999275,0.217111002903265,0.601190476190476
"X6",1302040002,296320472,861.3413,0.8308674,12674.79,10624.4135982687,0.690527,0.6856033,12546.6414748918,12418.4929497836,12290.3444246754,12162.1958995672,12034.047374459,11905.8988493508,11777.7503242426,11649.6017991343,11521.4532740261,11393.3047489179,11265.1562238097,11137.0076987015,11008.8591735933,10880.7106484851,10752.5621233769,10624.4135982687,57.0794208576513,1568.7,1054.8,0,0,8.5488456172,1.43902349856303,-0.16973298905812,0.515530958715308,2.00758588812408,0.669614173815837,0.820931267339219,0.411306200932087,0.245950494507607,-0.172607785090632,-0.199709572285634,0.19971108012498,0.205874009071183,0.601190476190476
"X8",1302060001,467427421,754.0819,0.8535022,12090.88,6380.38784324872,0.7857474,0.7649608,11733.974240203,11377.0684804061,11020.1627206091,10663.2569608122,10306.3512010152,9949.44544121827,9592.53968142132,9235.63392162436,8878.7281618274,8521.82240203045,8164.9166422335,7808.01088243654,7451.10512263959,7094.19936284263,6737.29360304568,6380.38784324872,57.0439200587857,5015.34,646.38,0,0,41.3176625950188,2.67751969817885,-0.396593516355366,0.621085785038206,1.84597244600569,0.994810081973257,1.07616776692622,3.13223463262039,-0.0414423251783526,-0.0192380981121923,-0.200379093704427,0.553923713346253,0.563731033680951,1.50297619047619
"X9",1302060002,170555139,444.7828,0.7189815,11697.72,3314.54697334104,0.5251715,0.5045119,11173.7716858338,10649.8233716676,10125.8750575014,9601.92674333526,9077.97842916907,8554.03011500289,8030.0818008367,7506.13348667052,6982.18517250433,6458.23685833815,5934.28854417196,5410.34023000578,4886.39191583959,4362.44360167341,3838.49528750722,3314.54697334104,57.38033200748,1959.21,1357.02,1,1,15.0930638318813,0.528716302541916,-1.05078099939707,-0.00623626443140065,1.73715440743252,0.104893462798826,0.238489342614918,0.719591882598463,0.458613581441378,-0.141978522527273,-0.194034588442974,0.200956176075771,0.212194107020566,1
"X10",1302070001,131371771,189.8073,0.5261708,6715.568,906.364065085732,0.3115968,0.1711398,6352.49275406786,5989.41750813572,5626.34226220358,5263.26701627143,4900.19177033929,4537.11652440715,4174.04127847501,3810.96603254287,3447.89078661072,3084.81554067858,2721.74029474644,2358.6650488143,1995.58980288216,1632.51455695002,1269.43931101787,906.364065085732,57.3857822999259,4308.48,811.98,0,0,32.8651117363563,0.245101565444663,-1.59007057567551,-0.905387127337032,0.358204339995767,-0.624505053968048,-0.833731025516216,2.5742084183296,0.0750853936894672,-0.0587990343595984,-0.193931799557996,0.385657546033292,0.397906334663762,9.01785714285714
"X12",1302080001,72521582,131.0403,0.6320838,1500.221,1052.71020090045,0.1362841,0.1313082,1472.25157505628,1444.28215011256,1416.31272516883,1388.34330022511,1360.37387528139,1332.40445033767,1304.43502539395,1276.46560045022,1248.4961755065,1220.52675056278,1192.55732561906,1164.58790067534,1136.61847573161,1108.64905078789,1080.67962584417,1052.71020090045,55.0149974165292,1311.75,587.25,0,0,0,-0.18086439239129,-1.71436655912942,-0.411473846886704,-1.08528897320625,-1.22323151056799,-0.961840884785339,0.208458627491777,-0.0830503204480034,-0.212619414964987,-0.238643223230255,0.227046557349837,0.248308588497253,1.20238095238095
"X13",1302080002,180501014,797.131,0.8956217,5675.434,4163.84980827095,0.621837,0.6030046,5580.95998801693,5486.48597603387,5392.0119640508,5297.53795206774,5203.06394008467,5108.58992810161,5014.11591611854,4919.64190413547,4825.16789215241,4730.69388016934,4636.21986818628,4541.74585620321,4447.27184422014,4352.79783223708,4258.32382025401,4163.84980827095,58.1046965048863,3714.57,1463.13,0,0,0,0.60070594680443,-0.305541901991759,0.817505303094796,0.0703181314972598,0.435024664305972,0.555270138165083,2.10534987642676,0.533279983911574,-0.212619414964987,-0.180373556535991,0.520379828165848,0.528654014210287,0.601190476190476
"X14",1302080003,26121972,124.4079,0.654682,2574.15,708.145495988462,0.02317733,0.01498089,2457.52471849928,2340.89943699856,2224.27415549784,2107.64887399712,1991.02359249639,1874.39831099567,1757.77302949495,1641.14774799423,1524.52246649351,1407.89718499279,1291.27190349207,1174.64662199135,1058.02134049063,941.396058989905,824.770777489184,708.145495988462,56.9371340105611,1037.16,18,0,0,0,-0.516711305590918,-1.72839451156293,-0.306089700518717,-0.788049052189732,-1.60951279891484,-1.33598290552404,-0.00831473382744674,-0.483614354056134,-0.212619414964987,-0.202393007441558,0.171019736417015,0.195356680918011,1.20238095238095
"X16",1302090003,163053444,1083.354,0.8742224,2602.993,3696.1922896609,0.6718057,0.6195208,2671.31795560381,2739.64291120761,2807.96786681142,2876.29282241522,2944.61777801903,3012.94273362284,3081.26768922664,3149.59264483045,3217.91760043425,3286.24255603806,3354.56751164187,3422.89246724567,3491.21742284948,3559.54237845328,3627.86733405709,3696.1922896609,57.8727592995826,2792.43,36.9,1,0,0,0.474417977415583,0.299838145860454,0.717712091096829,-0.780065944328897,0.60567734772198,0.608390978343752,1.3773722100627,-0.470314994837524,-0.212619414964987,-0.184747737729873,0.492007066671869,0.482448695458735,1
"X17",1302090004,142934393,1033.759,0.9321618,6387.497,4043.36103056953,0.789981,0.7622262,6240.9885019106,6094.48000382119,5947.97150573179,5801.46300764238,5654.95450955298,5508.44601146357,5361.93751337417,5215.42901528477,5068.92051719536,4922.41201910596,4775.90352101655,4629.39502292715,4482.88652483775,4336.37802674834,4189.86952865894,4043.36103056953,58.1028949575713,2266.29,589.14,1,0,0,0.328793452234102,0.194941532124903,0.987905921139635,0.267401504680016,1.00926863703893,1.06737250835871,0.962014271592626,-0.0817203845261424,-0.212619414964987,-0.180407532518304,0.416614834434898,0.404959104513628,1
"X18",1302100001,54758673,455.7721,0.7228177,1674.272,1568.40828592648,0.2948216,0.1636364,1667.6555178704,1661.03903574081,1654.42255361122,1647.80607148162,1641.18958935202,1634.57310722243,1627.95662509284,1621.34014296324,1614.72366083365,1608.10717870405,1601.49069657446,1594.87421444486,1588.25773231527,1581.64125018567,1575.02476805608,1568.40828592648,57.1857766797466,1448.64,440.01,0,0,0,-0.309434829881948,-1.02753792333448,0.0116534198043733,-1.037115485487,-0.681795575731476,-0.857864113768757,0.316525583429679,-0.186658661789174,-0.212619414964987,-0.197703772326719,0.268423410930153,0.26436358206432,1.20238095238095
"X19",1302100002,65002517,952.4656,0.8642186,3022.043,3692.56113211598,0.6495382,0.3389136,3063.95038325725,3105.8577665145,3147.76514977175,3189.67253302899,3231.57991628624,3273.48729954349,3315.39468280074,3357.30206605799,3399.20944931524,3441.11683257249,3483.02421582974,3524.93159908698,3566.83898234423,3608.74636560148,3650.65374885873,3692.56113211598,59.073482131958,753.12,236.88,0,0,0,-0.235288444024426,0.0230007643247295,0.671060502765188,-0.664082123329583,0.529629569253339,-0.294122325211784,-0.232548338653232,-0.329595108248233,-0.212619414964987,-0.162102904937464,0.281080738256545,0.228990104673055,2.4047619047619
"X20",1302100003,57225984,556.812,0.8045037,1211.083,1590.34350564102,0.3804724,0.1528494,1234.78678160256,1258.49056320513,1282.19434480769,1305.89812641025,1329.60190801282,1353.30568961538,1377.00947121794,1400.71325282051,1424.41703442307,1448.12081602563,1471.8245976282,1495.52837923076,1519.23216083332,1542.93594243589,1566.63972403845,1590.34350564102,59.0016116811268,2174.85,762.66,1,1,0,-0.291576085309451,-0.813832038423129,0.392586829554504,-1.16531601063877,-0.38928168490126,-0.892558202179367,0.889827534424375,0.0403803991570948,-0.212619414964987,-0.163458333765754,0.370793310531723,0.344490657579322,1
"X21",1302100004,118789354,1089.532,0.8988265,1687.636,1869.07661449311,0.5008674,0.4862539,1698.97603840582,1710.31607681164,1721.65611521746,1732.99615362328,1744.3361920291,1755.67623043491,1767.01626884073,1778.35630724655,1789.69634565237,1801.03638405819,1812.37642246401,1823.71646086983,1835.05649927565,1846.39653768147,1857.73657608729,1869.07661449311,57.640852419764,3049.02,992.52,1,1,0,0.154028258793152,0.312905013078081,0.832450524939019,-1.03341662429183,0.0218903051619252,0.179766373652193,1.57993558375037,0.202125939368188,-0.212619414964987,-0.189121347005306,0.485772704973043,0.499095680095045,1
"X22",1303040001,127433260,1328.478,0.8740466,2466.778,1784.97018689222,0.2624936,0.2383892,2424.16501168076,2381.55202336153,2338.93903504229,2296.32604672306,2253.71305840382,2211.10007008458,2168.48708176535,2125.87409344611,2083.26110512687,2040.64811680764,1998.0351284884,1955.42214016917,1912.80915184993,1870.19616353069,1827.58317521146,1784.97018689222,85.1248344572964,3356.73,37.26,1,1,0,0.216594068033526,0.818291166231723,0.716892267706847,-0.817767259631179,-0.792201889073082,-0.61743765116186,1.82285532231164,-0.47006167370955,-0.212619414964987,0.329208246576466,0.359995546078802,0.407129277031041,1
"X23",1303040002,106157345,1618.917,0.9265665,2071.516,2374.9503036674,0.3334351,0.344829,2090.48064397921,2109.44528795843,2128.40993193764,2147.37457591685,2166.33921989606,2185.30386387528,2204.26850785449,2223.2331518337,2242.19779581292,2261.16243979213,2280.12708377134,2299.09172775055,2318.05637172977,2337.02101570898,2355.98565968819,2374.9503036674,85.6621887951362,2330.1,238.32,1,1,0,0.0625959982599296,1.43258832515378,0.96181287327862,-0.927167085560854,-0.549923075724792,-0.275096700794975,1.01238867774645,-0.328581823736339,-0.212619414964987,0.339342391445341,0.298288516016251,0.340093445639069,1
"X26",1303071002,93353636,1482.62,0.8292262,1708.949,2096.92973789936,0.4008021,0.4631997,1733.19779611871,1757.44659223742,1781.69538835613,1805.94418447484,1830.19298059355,1854.44177671226,1878.69057283097,1902.93936894968,1927.18816506839,1951.4369611871,1975.68575730581,1999.93455342452,2024.18334954323,2048.43214566194,2072.68094178065,2096.92973789936,84.3692120846835,2021.58,2650.59,0,0,0,-0.0300790510595861,1.14431140686939,0.507877408387444,-1.02751765477278,-0.319851864672949,0.105617448739254,0.768829489741767,1.36885972453223,-0.212619414964987,0.314957711964601,0.291259386573079,0.332530169608698,2.4047619047619
"X29",1310030003,512598831,299.9655,0.3157336,3036.327,1100.00065780964,0.04580411,0.000275664,2915.3066036131,2794.28620722621,2673.26581083931,2552.24541445241,2431.22501806551,2310.20462167862,2189.18422529172,2068.16382890482,1947.14343251792,1826.12303613103,1705.10263974413,1584.08224335723,1463.06184697033,1342.04145058344,1221.02105419654,1100.00065780964,32.9453618329366,3816.63,1551.33,0,0,1571.42938379899,3.00447672676971,-1.35707889999845,-1.88673717672457,-0.660128626374198,-1.53223801041597,-1.38327913347824,2.18592050629762,0.595343660265086,7.14222750749524,-0.654861849298328,0.595041852414703,0.590663416205938,0.901785714285714
"X30",1310040001,301793042,1066.594,0.8306361,5549.4,3760.32389981782,0.3369415,0.3305005,5437.58274373861,5325.76548747723,5213.94823121584,5102.13097495445,4990.31371869307,4878.49646243168,4766.67920617029,4654.86194990891,4543.04469364752,4431.22743738613,4319.41018112475,4207.59292486336,4095.77566860198,3983.95841234059,3872.1411560792,3760.32389981782,31.9388246341185,5073.03,1385.55,1,1,48.7697555872,1.47863473110936,0.264389668267797,0.514452317360912,0.0354346930153901,-0.537948047974822,-0.321181269793901,3.17777764297949,0.47868928083328,0.015640340444766,-0.673844470392894,0.54971290318825,0.587994838238846,1
"X31",1310040004,56127136,1112.749,0.8965412,4522.34,3877.89959848091,0.7192887,0.5256322,4482.06247490506,4441.78494981011,4401.50742471517,4361.22989962023,4320.95237452528,4280.67484943034,4240.3973243354,4200.11979924045,4159.84227414551,4119.56474905057,4079.28722395562,4039.00969886068,3998.73217376574,3958.45464867079,3918.17712357585,3877.89959848091,31.8881665706635,1562.49,0,0,0,0,-0.299529701921219,0.362010460826811,0.821793287207928,-0.248832919908019,0.767840889431937,0.306418290001456,0.406403755199204,-0.49628041045481,-0.212619414964987,-0.674799847725277,0.36905416772098,0.322020996613094,1.20238095238095
"X34",1311010001,314173877,413.4061,0.3623616,5289.083,3377.71329138324,0.1135569,0.005881089,5169.62239321145,5050.1617864229,4930.70117963436,4811.24057284581,4691.77996605726,4572.31935926871,4452.85875248017,4333.39814569162,4213.93753890307,4094.47693211452,3975.01632532598,3855.55571853743,3736.09511174888,3616.63450496033,3497.17389817179,3377.71329138324,47.773154024427,858.69,2184.39,1,0,481.100348610294,1.56824895884929,-1.11714473727783,-1.66929277952273,-0.036615325672304,-1.30084925260515,-1.36525047763982,-0.149206761194219,1.04080886380652,2.03910086903321,-0.375219565664372,0.142102249000011,0.145385832111128,1
"X35",1501010001,54966084,984.8491,0.9070144,2585.067,6545.16472716687,0.8840587,0.9081115,2832.57310794793,3080.07921589586,3327.58532384379,3575.09143179172,3822.59753973965,4070.10364768758,4317.60975563551,4565.11586358344,4812.62197153136,5060.12807947929,5307.63418742722,5555.14029537515,5802.64640332308,6050.15251127101,6297.65861921894,6545.16472716687,54.4554551442464,423.36,131.76,0,0,0,-0.307933559847272,0.0914939489382027,0.870633869278234,-0.785027466761145,1.33056200577988,1.53658150956464,-0.492875312063142,-0.403564877616501,-0.212619414964987,-0.249195817762884,0.36932435801811,0.342546369227228,1.20238095238095
"X36",1501010002,73344691,1353.599,0.7880201,2931.407,3714.1045587519,0.8117983,0.9296222,2980.32559742199,3029.24419484399,3078.16279226598,3127.08138968797,3175.99998710997,3224.91858453196,3273.83718195395,3322.75577937595,3371.67437679794,3420.59297421994,3469.51157164193,3518.43016906392,3567.34876648592,3616.26736390791,3665.1859613299,3714.1045587519,53.5316382733513,395.1,872.19,0,0,0,-0.174906613503131,0.871423696399094,0.315717427784834,-0.689168174159064,1.08377889625904,1.60576609541558,-0.515184992644669,0.117453352343039,-0.212619414964987,-0.266618388574534,0.28893149734443,0.291451879636278,0.601190476190476
