"","ID2003_d","X","Area2003","elev_MEAN.2003","ovslp_MEAN.2003","dstrds00_MEAN.2003","dstrds16_MEAN.2003","mdvp.2003","PAs_MEAN.2003","prmforlag_MEAN.2003","dstrds.2003","pop.2003_pds","pop.2003","AreaNonFor_3km","AreaFor_3km","VCA","HKDII","AreaConc","year","dstrds","HKD","KSNP_AreaForLoss_Ha2","nonKSNP_AreaForLoss_Ha","All_AreaForLoss_Ha","KSNP_AreaForLoss_Ha2_trunc","All_AreaForLoss_Ha_trunc","nonKSNP_AreaForLoss_Ha_trunc","pop.2003_pds_imp","mdvp.2003_imp","Area2003_z","elev_MEAN.2003_z","ovslp_MEAN.2003_z","dstrds00_MEAN.2003_z","PAs_MEAN.2003_z","prmforlag_MEAN.2003_z","AreaNonFor_3km_z","AreaFor_3km_z","AreaConc_z","pop.2003_pds_z","All_AreaForLoss_Ha_trunc_z","ps03.1","distance","weights","subclass"
"X1",1302010001,1,463743729,50.49509,0.08679081,11271.33,1582.9979908511,0.3888889,0.06584024,0.07391308,9454.76774828458,8916,57.2634752270034,17.19,1573.74,1,1,1262.73359649071,2003,9454.76774828458,2.5e+08,0.54,323.55,324.09,0.63,1470.51,1469.88,8916,0.3888889,2.65085661658445,-1.88472485697434,-2.95438594924872,1.61913903591146,-1.46381078797928,-1.14644006598656,-0.813523682968963,0.611112900481438,5.69742172451318,1.06810524305645,3.63060731383992,0.497021355960277,0.494326899299501,1,1
"X2",1302010002,2,462709037,163.0058,0.3420156,6281.543,4241.08687348021,0.3333333,0.2131038,0.2310532,5898.95747627754,14451,57.5307326834944,512.91,6028.92,0,0,548.816296854219,2003,5898.95747627754,0,0.18,187.74,187.92,2.34,841.77,839.43,14451,0.3333333,2.64336737013794,-1.64675747139147,-1.76417404626093,0.238075768442905,-0.960877518084443,-0.641032332962196,-0.422180623596204,3.74608851971775,2.35603552653546,2.08720135158781,1.93902897555831,0.140783108875116,0.154905341151329,0.137762237762238,29
"X3",1302020001,3,477010676,235.5219,0.4245429,4883.622,5347.07525550266,0.2777778,0.3153408,0.3188482,4970.51948540675,21587,57.5349319829837,3034.8,1567.62,1,1,126.541988392625,2003,4970.51948540675,499947021,1.35,39.24,40.59,64.62,231.93,167.31,21587,0.2777778,2.74688464780138,-1.49338125743223,-1.37931732924122,-0.148838010426396,-0.611718576699087,-0.358658411389056,1.56870969352145,0.606806441305888,0.379641976788744,3.40107123966003,0.298299685521636,0.460766862901782,0.483875029313659,1,1
"X4",1302030001,4,976990574,387.2614,0.4909394,8906.944,4942.64298331092,0.2777778,0.3895979,0.3891916,8163.6375593708,30203,57.2134133679167,1810.35,6416.1,0,0,2369.18992956782,2003,8163.6375593708,0,5.04,1120.86,1125.9,35.91,3545.19,3509.28,30203,0.2777778,6.36580957853172,-1.17244245876451,-1.06968477114712,0.964729007043115,-0.358116354153957,-0.132413844901352,0.602075284885583,4.01853539285327,10.8760298376537,4.98743656415979,9.21237998118427,0.420360825854335,0.389286496382666,0.895454545454546,34
"X5",1302040001,5,255619988,400.8325,0.6857018,11478.65,8340.18050901945,0.1666667,0.5641644,0.4597445,10890.1869704411,20862,57.2473089609885,2089.08,704.79,0,0,59.292653841525,2003,10890.1869704411,0,7.56,191.43,198.99,45.63,434.88,389.25,20862,0.1666667,1.14442766215124,-1.14373870970379,-0.161432376328928,1.6765206509206,0.238061686490298,0.0945045337233706,0.822116943360062,-0.000340972164648774,0.0648912368828108,3.26758529951816,0.844321608342281,0.048419017844477,0.0509308638545518,0.358181818181818,38
"X6",1302040002,6,296320472,861.3413,0.8308674,12674.79,10624.4135982687,0.2222222,0.690527,0.6856033,12290.3444246754,17349,57.0794208576513,1568.7,1054.8,0,0,8.5488456172,2003,12290.3444246754,0,0.36,35.19,35.55,5.22,84.06,78.84,17349,0.2222222,1.43902349856303,-0.16973298905812,0.515530958715308,2.00758588812408,0.669614173815837,0.820931267339219,0.411306200932087,0.245950494507607,-0.172607785090632,2.62077687507902,-0.0995335824137609,0.154890871394657,0.15579883269317,0.137762237762238,29
"X7",1302050002,7,532391925,824.8833,0.8419526,11892.12,9003.24310324983,0.1666667,0.7235831,0.725042,11350.4555818593,21728,56.9044477733489,1036.35,3280.41,0,0,40.2022452365625,2003,11350.4555818593,0,0.09,56.43,56.52,0.81,151.92,151.11,21728,0.1666667,3.14774192926969,-0.246844003143627,0.56722553347429,1.79096005067859,0.782507088145566,0.947777447426315,-0.00895418327086641,1.81204503792191,-0.0244586470026984,3.4270319535359,0.0830387146180646,0.113545826856876,0.111857264485768,0.223863636363636,37
"X8",1302060001,8,467427421,754.0819,0.8535022,12090.88,6380.38784324872,0.1666667,0.7857474,0.7649608,11020.1627206091,20145,57.0439200587857,5015.34,646.38,0,0,41.3176625950188,2003,11020.1627206091,0,5.31,6.03,11.34,31.05,49.41,18.36,20145,0.1666667,2.67751969817885,-0.396593516355366,0.621085785038206,1.84597244600569,0.994810081973257,1.07616776692622,3.13223463262039,-0.0414423251783526,-0.0192380981121919,3.13557230768131,-0.192756837529481,0.817606637110935,0.804794590514345,3.58181818181818,30
"X9",1302060002,9,170555139,444.7828,0.7189815,11697.72,3314.54697334104,0.1666667,0.5251715,0.5045119,10125.8750575014,29858,57.38033200748,1959.21,1357.02,1,1,15.0930638318813,2003,10125.8750575014,2.5e+08,0.9,25.83,26.73,6.84,71.37,64.53,29858,0.1666667,0.528716302541916,-1.05078099939707,-0.00623626443140065,1.73715440743252,0.104893462798826,0.238489342614918,0.719591882598463,0.458613581441378,-0.141978522527273,4.92391566850608,-0.133675086235362,0.179984806917018,0.182510406606368,1,42
"X10",1302070001,10,131371771,189.8073,0.5261708,6715.568,906.364065085732,0.6111111,0.3115968,0.1711398,5626.34226220358,9513,57.3857822999259,4308.48,811.98,0,0,32.8651117363563,2003,5626.34226220358,0,25.2,36.63,61.83,138.15,356.13,217.98,9513,0.6111111,0.245101565444663,-1.59007057567551,-0.905387127337032,0.358204339995767,-0.624505053968048,-0.833731025516216,2.5742084183296,0.0750853936894672,-0.0587990343595981,1.1780240103181,0.632450573988372,0.273997962234507,0.299077391694504,0.447727272727273,12
