"","ID2003_d","X","Area2003","elev_MEAN.2003","ovslp_MEAN.2003","dstrds00_MEAN.2003","dstrds16_MEAN.2003","mdvp.2003","PAs_MEAN.2003","prmforlag_MEAN.2003","dstrds.2003","pop.2003_pds","pop.2003","AreaNonFor_3km","AreaFor_3km","VCA","HKDII","AreaConc","year","dstrds","HKD","KSNP_AreaForLoss_Ha2","nonKSNP_AreaForLoss_Ha","All_AreaForLoss_Ha","KSNP_AreaForLoss_Ha2_trunc","All_AreaForLoss_Ha_trunc","nonKSNP_AreaForLoss_Ha_trunc","pop.2003_pds_imp","mdvp.2003_imp","Area2003_z","elev_MEAN.2003_z","ovslp_MEAN.2003_z","dstrds00_MEAN.2003_z","PAs_MEAN.2003_z","prmforlag_MEAN.2003_z","AreaNonFor_3km_z","AreaFor_3km_z","AreaConc_z","pop.2003_pds_z","All_AreaForLoss_Ha_trunc_z","ps03.1","distance","weights"
"X1",1302010001,1,463743729,50.49509,0.08679081,11271.33,1582.9979908511,0.3888889,0.06584024,0.07391308,9454.76774828458,8916,57.2634752270034,17.19,1573.74,1,1,1262.73359649071,2003,9454.76774828458,2.5e+08,0.54,323.55,324.09,0.63,1470.51,1469.88,8916,0.3888889,2.65085661658445,-1.88472485697434,-2.95438594924872,1.61913903591146,-1.46381078797928,-1.14644006598656,-0.813523682968963,0.611112900481438,5.69742172451318,1.06810524305645,3.63060731383992,0.497021355960277,0.494326899299501,1
"X2",1302010002,2,462709037,163.0058,0.3420156,6281.543,4241.08687348021,0.3333333,0.2131038,0.2310532,5898.95747627754,14451,57.5307326834944,512.91,6028.92,0,0,548.816296854219,2003,5898.95747627754,0,0.18,187.74,187.92,2.34,841.77,839.43,14451,0.3333333,2.64336737013794,-1.64675747139147,-1.76417404626093,0.238075768442905,-0.960877518084443,-0.641032332962196,-0.422180623596204,3.74608851971775,2.35603552653546,2.08720135158781,1.93902897555831,0.140783108875116,0.154905341151329,1.56363636363636
"X3",1302020001,3,477010676,235.5219,0.4245429,4883.622,5347.07525550266,0.2777778,0.3153408,0.3188482,4970.51948540675,21587,57.5349319829837,3034.8,1567.62,1,1,126.541988392625,2003,4970.51948540675,499947021,1.35,39.24,40.59,64.62,231.93,167.31,21587,0.2777778,2.74688464780138,-1.49338125743223,-1.37931732924122,-0.148838010426396,-0.611718576699087,-0.358658411389056,1.56870969352145,0.606806441305888,0.379641976788744,3.40107123966003,0.298299685521636,0.460766862901782,0.483875029313659,1
"X8",1302060001,8,467427421,754.0819,0.8535022,12090.88,6380.38784324872,0.1666667,0.7857474,0.7649608,11020.1627206091,20145,57.0439200587857,5015.34,646.38,0,0,41.3176625950188,2003,11020.1627206091,0,5.31,6.03,11.34,31.05,49.41,18.36,20145,0.1666667,2.67751969817885,-0.396593516355366,0.621085785038206,1.84597244600569,0.994810081973257,1.07616776692622,3.13223463262039,-0.0414423251783526,-0.0192380981121919,3.13557230768131,-0.192756837529481,0.817606637110935,0.804794590514345,1.56363636363636
"X9",1302060002,9,170555139,444.7828,0.7189815,11697.72,3314.54697334104,0.1666667,0.5251715,0.5045119,10125.8750575014,29858,57.38033200748,1959.21,1357.02,1,1,15.0930638318813,2003,10125.8750575014,2.5e+08,0.9,25.83,26.73,6.84,71.37,64.53,29858,0.1666667,0.528716302541916,-1.05078099939707,-0.00623626443140065,1.73715440743252,0.104893462798826,0.238489342614918,0.719591882598463,0.458613581441378,-0.141978522527273,4.92391566850608,-0.133675086235362,0.179984806917018,0.182510406606368,1
"X10",1302070001,10,131371771,189.8073,0.5261708,6715.568,906.364065085732,0.6111111,0.3115968,0.1711398,5626.34226220358,9513,57.3857822999259,4308.48,811.98,0,0,32.8651117363563,2003,5626.34226220358,0,25.2,36.63,61.83,138.15,356.13,217.98,9513,0.6111111,0.245101565444663,-1.59007057567551,-0.905387127337032,0.358204339995767,-0.624505053968048,-0.833731025516216,2.5742084183296,0.0750853936894672,-0.0587990343595981,1.1780240103181,0.632450573988372,0.273997962234507,0.299077391694504,0.781818181818182
"X11",1302070002,11,421458481,1016.942,0.891535,3820.417,4983.74497724736,0.2222222,0.7580696,0.6814985,4038.54099573388,25412,57.4702672974008,5790.42,763.47,1,1,12.0194690550187,2003,4038.54099573388,2.5e+08,15.66,29.07,44.73,85.86,344.43,258.57,25412,0.2222222,2.34479003510498,0.159372495867402,0.798447440479099,-0.443109764168372,0.90028509250882,0.807729052255519,3.74411670003473,0.0409503716950352,-0.15636403632672,4.10532464799471,0.600972591741506,0.632528718045792,0.628292862682578,1
"X12",1302080001,12,72521582,131.0403,0.6320838,1500.221,1052.71020090045,0.1666667,0.1362841,0.1313082,1416.31272516883,3729,55.0149974165292,1311.75,587.25,0,0,0,2003,1416.31272516883,0,0,41.85,41.85,1.08,90.45,89.37,3729,0.1666667,-0.18086439239129,-1.71436655912942,-0.411473846886704,-1.08528897320625,-1.22323151056799,-0.961840884785339,0.208458627491777,-0.0830503204480034,-0.212619414964987,0.113082385793186,-0.0823417613404723,0.220279335204574,0.252368168136831,2.34545454545455
"X13",1302080002,13,180501014,797.131,0.8956217,5675.434,4163.84980827095,0.1666667,0.621837,0.6030046,5392.0119640508,16095,58.1046965048863,3714.57,1463.13,0,0,0,2003,5392.0119640508,0,0.18,10.71,10.89,22.77,73.26,50.49,16095,0.1666667,0.60070594680443,-0.305541901991759,0.817505303094796,0.0703181314972598,0.435024664305972,0.555270138165083,2.10534987642676,0.533279983911574,-0.212619414964987,2.38989222826812,-0.128590181410868,0.618374368960274,0.616371642836052,1.56363636363636
"X15",1302090002,15,37157036,339.8877,0.829263,4728.322,2393.46581308456,0,0.6150361,0.582134,4290.53646495335,26220,55.6743002159651,1277.01,33.39,0,0,0,2003,4290.53646495335,0,0,1.35,1.35,0.9,5.76,4.86,26220,0,-0.436837957919239,-1.27264088018046,0.508049021019704,-0.191821633863202,0.411798287901464,0.488144297654982,0.181033351362895,-0.472784875835266,-0.212619414964987,4.25409242680109,-0.31019392514279,0.355173301282496,0.330345349251509,0.781818181818182
"X16",1302090003,16,163053444,1083.354,0.8742224,2602.993,3696.1922896609,0.2222222,0.6718057,0.6195208,2807.96786681142,4056,57.8727592995826,2792.43,36.9,1,0,0,2003,2807.96786681142,0,2.25,9,11.25,7.02,44.1,37.08,4056,0.2222222,0.474417977415583,0.299838145860454,0.717712091096829,-0.780065944328897,0.60567734772198,0.608390978343752,1.3773722100627,-0.470314994837524,-0.212619414964987,0.173289147760621,-0.207042998703059,0.608899256168727,0.595615655370049,1
