"","ID2003_d","mdvp","year","Area2003","ev_frac1","ev_frac2","PAs_MEAN","hhpop","prmmrkt","VCA.y","dstrds.y","HKD","HKDII","KSNP_AreaForLoss_Ha2_trunc","All_AreaForLoss_Ha_trunc","nonKSNP_AreaForLoss_Ha_trunc","weights_mah","weights_full","weights_gen"
"1",1302010001,NA,2014,463743729,1,1,0.0659834048378532,0,0,1,2794.03949199472,2.5e+08,1,0.27,4485.6,4485.33,1,1,1
"2",1302010001,0.3333333,2006,463743729,1,1,0.06596249,2074,2,1,7638.20549656916,2.5e+08,1,0,2694.42,2694.42,1,1,1
"3",1302010001,0.06666667,2011,463743729,1,1,0.06596249,3335,1,1,4610.60174371013,2.5e+08,1,0,8953.47,8953.47,1,1,1
"4",1302010001,0.1111111,2008,463743729,1,1,0.06596249,2074,2,1,6427.16399542555,2.5e+08,1,0,10006.11,10006.11,1,1,1
"5",1302010001,NA,2003,463743729,1,1,NA,NA,NA,1,9454.76774828458,2.5e+08,1,0.63,1470.51,1469.88,1,1,1
"6",1302010002,0.05555556,2008,462709037,1,1,0.214656,4700,1,0,5261.31493674011,0,0,3.42,3858.3,3854.88,0.566037735849057,0.137762237762238,1.56363636363636
"7",1302010002,0.4444444,2006,462709037,1,1,0.214656,3589,1,0,5516.37195255508,0,0,0.45,2470.68,2470.23,0.566037735849057,0.137762237762238,1.56363636363636
"8",1302010002,0.244827140229634,2011,462709037,1,1,0.214655986344589,5516,6,0,4878.72941301765,0,0,2.16,4091.67,4089.51,0.566037735849057,0.137762237762238,1.56363636363636
"9",1302010002,NA,2003,462709037,1,1,NA,NA,NA,0,5898.95747627754,0,0,2.34,841.77,839.43,0.566037735849057,0.137762237762238,1.56363636363636
"10",1302010002,NA,2014,462709037,1,1,0.214873149501034,0,0,0,4496.14388929519,0,0,21.78,2843.01,2821.23,0.566037735849057,0.137762237762238,1.56363636363636
"11",1302020001,0.1111111,2008,477010676,1,1,0.3178463,6725,1,1,5115.34862775133,499947021,1,111.06,1487.88,1376.82,1,1,1
